A¥O,TASA OBJETIVO MEDIA ANUAL (1),?1,TASA MEDIA ANUAL CETES 28 (2),?2,TASA MEDIA ANUAL CETES 1 A¥O (3),?3,TASA MEDIA ANUAL BONOS TF 3 A¥OS (4),?4,TASA MEDIA ANUAL BONOS TF 5 A¥OS (5),?5,TASA MEDIA ANUAL BONOS TF 10 A¥OS (6),?5
2008,7.8991,,7.68,,8.12,,8.05,,8.19,,8.23,
2009,5.5747,-29.4263,5.39,-29.8695,5.77,-28.9721,6.51,-19.1150,7.39,-9.8047,7.96,-3.2713
2010,4.5000,-19.2776,4.40,-18.2733,4.85,-15.8864,5.56,-14.5339,6.39,-13.5048,6.95,-12.7296
2011,4.5000,0.0000,4.24,-3.6202,4.66,-3.9645,5.33,-4.1477,6.01,-5.9781,6.65,-4.2754
2012,4.5000,0.0000,4.24,-0.1178,4.62,-0.8587,4.88,-8.4091,5.11,-14.9134,5.60,-15.8507
2013,3.9637,-11.9178,3.75,-11.4317,3.98,-13.8408,4.45,-8.9449,4.72,-7.6095,5.63,0.6252
2014,3.2143,-18.9069,3.00,-20.1988,3.37,-15.3103,4.69,5.5344,4.93,4.3828,6.01,6.7061
2015,3.0103,-6.3470,2.98,-0.4581,3.53,4.8391,4.90,4.3101,5.34,8.2384,5.96,-0.7790
2016,4.1516,37.9157,4.17,39.6802,4.57,29.3926,5.45,11.3904,5.83,9.3124,6.18,3.6913
2017,6.6870,61.0686,6.69,60.6010,7.10,55.2246,6.99,28.0959,7.04,20.7438,7.20,16.4930
2018,7.6473,14.3603,7.62,13.8685,8.06,13.6477,7.81,11.8586,7.91,12.2652,7.93,10.0709
2019,8.0460,5.2144,7.85,3.0266,7.89,-2.1652,7.50,-3.9866,7.43,-6.0414,7.75,-2.2699
2020,6.8105,-15.3550,6.68,-14.9343,6.64,-15.8175,6.22,-17.0474,6.71,-9.6811,6.90,-11.0108
