T¡tulo,"Emisor: Residentes, Instituciones no financieras, Total no financieras, Corto plazo original / Inversionista: Total de inversionistas","Emisor: Residentes, Instituciones no financieras, Privadas, Largo plazo original / Inversionista: Total de inversionistas","Emisor: Residentes, Instituciones no financieras, Privadas, Total / Inversionista: Total de inversionistas","Emisor: Residentes, Instituciones no financieras, Privadas, Corto plazo remanente / Inversionista: Total de inversionistas (Miles de Millones de Pesos)","Emisor: Residentes, Instituciones no financieras, Privadas, Largo plazo remanente / Inversionista: Total de inversionistas","Emisor: Residentes, Instituciones no financieras, Privadas, Total / Inversionista: Total de inversionistas"
Dic 2012,18.1,285.2,303.3,35.0,268.4,303.3
Ene 2013,21.5,284.3,305.8,38.2,267.6,305.8
Feb 2013,19.1,294.0,313.0,35.8,277.2,313.0
Mar 2013,19.4,297.8,317.2,39.2,278.1,317.2
Abr 2013,20.9,302.6,323.5,41.2,282.3,323.5
May 2013,20.1,314.3,334.4,42.4,292.0,334.4
Jun 2013,20.1,319.5,339.5,44.5,295.0,339.5
Jul 2013,19.2,317.0,336.2,39.8,296.5,336.2
Ago 2013,19.6,320.8,340.4,40.5,299.9,340.4
Sep 2013,16.3,322.0,338.2,32.6,305.7,338.2
Oct 2013,16.3,319.8,336.1,38.6,297.5,336.1
Nov 2013,13.5,321.5,335.0,40.5,294.5,335.0
Dic 2013,10.3,333.6,343.9,45.3,298.6,343.9
Ene 2014,9.9,334.7,344.6,45.0,299.6,344.6
Feb 2014,11.1,337.1,348.2,51.4,296.8,348.2
Mar 2014,11.1,338.1,349.2,53.9,295.3,349.2
Abr 2014,9.8,340.2,350.0,49.6,300.4,350.0
May 2014,10.1,340.4,350.5,50.5,299.9,350.5
Jun 2014,9.3,336.4,345.7,46.2,299.5,345.7
Jul 2014,8.8,340.2,349.1,44.5,304.6,349.1
Ago 2014,8.8,347.5,356.2,45.9,310.4,356.2
Sep 2014,8.5,344.2,352.7,44.6,308.0,352.7
Oct 2014,9.6,339.3,349.0,42.5,306.5,349.0
Nov 2014,9.2,330.4,339.6,38.4,301.3,339.6
Dic 2014,8.0,329.6,337.6,30.5,307.1,337.6
Ene 2015,8.1,330.9,339.0,32.1,306.9,339.0
Feb 2015,7.3,339.6,347.0,26.1,320.8,347.0
Mar 2015,9.5,349.1,356.1,28.6,327.5,356.1
Abr 2015,13.5,349.7,358.2,32.5,325.7,358.2
May 2015,15.9,356.7,365.1,30.4,334.7,365.1
Jun 2015,15.8,363.5,371.7,38.8,332.9,371.7
Jul 2015,15.5,366.8,374.8,37.4,337.4,374.8
Ago 2015,15.6,383.7,391.8,36.4,355.3,391.8
Sep 2015,11.5,389.9,396.4,34.8,361.6,396.4
Oct 2015,16.2,389.3,395.5,34.5,361.0,395.5
Nov 2015,14.6,382.4,389.5,33.9,355.6,389.5
Dic 2015,5.7,392.2,397.9,31.7,366.2,397.9
Ene 2016,5.9,393.2,399.0,30.4,368.6,399.0
Feb 2016,5.6,397.0,402.6,30.2,372.5,402.6
Mar 2016,6.1,393.3,399.3,31.4,367.9,399.3
Abr 2016,6.6,397.8,404.4,29.4,375.0,404.4
May 2016,7.0,401.7,408.7,29.5,379.3,408.7
Jun 2016,8.1,396.1,404.2,25.9,378.3,404.2
Jul 2016,7.7,401.1,408.8,25.6,383.1,408.8
Ago 2016,9.3,404.7,413.9,33.7,380.2,413.9
Sep 2016,8.8,410.6,419.4,36.9,382.5,419.4
Oct 2016,5.7,417.2,422.9,32.8,390.1,422.9
Nov 2016,3.7,414.8,418.5,33.1,385.4,418.5
Dic 2016,6.1,414.3,420.4,34.7,385.8,420.4
Ene 2017,6.4,416.4,422.8,35.0,387.8,422.8
Feb 2017,6.6,417.5,424.2,39.1,385.1,424.2
Mar 2017,6.3,411.9,418.2,32.8,385.5,418.2
Abr 2017,6.5,412.7,419.2,34.4,384.8,419.2
May 2017,8.4,414.4,422.8,41.0,381.8,422.8
Jun 2017,9.9,426.2,436.0,39.7,396.3,436.0
Jul 2017,10.6,430.3,440.9,45.8,395.1,440.9
Ago 2017,11.2,432.4,443.6,53.8,389.8,443.6
Sep 2017,10.2,451.8,461.9,50.7,411.2,461.9
Oct 2017,11.8,468.3,480.1,41.8,438.2,480.1
Nov 2017,10.7,470.5,481.2,36.4,444.8,481.2
Dic 2017,9.3,471.5,480.8,35.0,445.8,480.8
Ene 2018,9.9,472.9,482.8,35.6,447.2,482.8
Feb 2018,10.3,471.1,481.4,37.2,444.1,481.4
Mar 2018,11.4,493.0,504.4,37.7,466.7,504.4
Abr 2018,11.7,500.7,512.4,35.1,477.4,512.4
May 2018,11.7,511.2,522.9,32.0,490.8,522.9
Jun 2018,11.5,509.2,520.8,33.5,487.3,520.8
Jul 2018,11.5,504.6,516.2,30.2,485.9,516.2
Ago 2018,11.8,505.3,517.1,24.5,492.5,517.1
Sep 2018,9.7,517.4,527.1,25.1,502.0,527.1
Oct 2018,9.4,519.5,528.9,25.1,503.8,528.9
Nov 2018,8.7,521.4,530.0,24.6,505.5,530.0
Dic 2018,9.0,526.4,535.4,28.8,506.6,535.4
Ene 2019,10.9,525.8,536.7,32.5,504.2,536.7
Feb 2019,12.1,526.2,538.2,37.9,500.3,538.2
Mar 2019,11.6,532.8,544.4,39.7,504.7,544.4
Abr 2019,12.6,533.3,546.0,42.6,503.4,546.0
May 2019,11.5,533.3,544.8,37.2,507.5,544.8
Jun 2019,12.4,545.8,558.2,39.7,518.5,558.2
Jul 2019,13.0,534.3,547.4,45.2,502.2,547.4
Ago 2019,13.0,535.1,548.1,46.1,502.0,548.1
Sep 2019,14.4,527.2,541.6,53.5,488.2,541.6
Oct 2019,14.0,522.3,536.3,47.3,489.0,536.3
Nov 2019,13.4,534.2,547.6,47.7,499.9,547.6
Dic 2019,12.1,534.3,546.5,45.5,501.0,546.5
Ene 2020,12.6,531.0,543.6,46.5,497.1,543.6
Feb 2020,13.9,533.3,547.2,38.2,509.0,547.2
Mar 2020,11.9,538.9,550.8,44.5,506.3,550.8
