Fecha/T¡tulo,"Emisor: Residentes, Instituciones no financieras, Privadas, En moneda local / Inversionista: Total de inversionistas (Miles de Millones de Pesos)","Emisor: Residentes, Instituciones no financieras, Privadas, En moneda extranjera / Inversionista: Total de inversionistas","Emisor: Residentes, Instituciones no financieras, Privadas, Total / Inversionista: Total de inversionistas"
Dic 2012,293.7,9.7,303.3
Ene 2013,296.3,9.5,305.8
Feb 2013,303.5,9.5,313.0
Mar 2013,308.0,9.2,317.2
Abr 2013,314.5,9.1,323.5
May 2013,324.8,9.5,334.4
Jun 2013,329.8,9.7,339.5
Jul 2013,326.6,9.6,336.2
Ago 2013,330.4,9.9,340.4
Sep 2013,328.4,9.8,338.2
Oct 2013,326.4,9.7,336.1
Nov 2013,325.2,9.8,335.0
Dic 2013,334.1,9.8,343.9
Ene 2014,334.9,9.8,344.6
Feb 2014,338.6,9.7,348.2
Mar 2014,339.7,9.5,349.2
Abr 2014,340.5,9.6,350.0
May 2014,341.1,9.4,350.5
Jun 2014,336.2,9.5,345.7
Jul 2014,339.4,9.7,349.1
Ago 2014,346.7,9.5,356.2
Sep 2014,342.9,9.8,352.7
Oct 2014,339.1,9.8,349.0
Nov 2014,329.5,10.1,339.6
Dic 2014,326.9,10.8,337.6
Ene 2015,328.0,10.9,339.0
Feb 2015,336.1,10.9,347.0
Mar 2015,345.0,11.1,356.1
Abr 2015,346.9,11.2,358.2
May 2015,353.9,11.2,365.1
Jun 2015,360.3,11.5,371.7
Jul 2015,363.1,11.7,374.8
Ago 2015,381.7,10.1,391.8
Sep 2015,386.3,10.1,396.4
Oct 2015,385.6,9.9,395.5
Nov 2015,379.6,10.0,389.5
Dic 2015,387.5,10.3,397.9
Ene 2016,388.1,10.9,399.0
Feb 2016,391.8,10.9,402.6
Mar 2016,389.0,10.3,399.3
Abr 2016,394.1,10.3,404.4
May 2016,397.7,11.0,408.7
Jun 2016,393.1,11.1,404.2
Jul 2016,397.5,11.3,408.8
Ago 2016,402.6,11.3,413.9
Sep 2016,407.8,11.6,419.4
Oct 2016,411.6,11.3,422.9
Nov 2016,406.2,12.3,418.5
Dic 2016,408.1,12.4,420.4
Ene 2017,410.3,12.5,422.8
Feb 2017,412.2,12.0,424.2
Mar 2017,406.9,11.3,418.2
Abr 2017,407.9,11.4,419.2
May 2017,411.6,11.2,422.8
Jun 2017,425.2,10.8,436.0
Jul 2017,430.2,10.7,440.9
Ago 2017,433.0,10.7,443.6
Sep 2017,451.0,10.9,461.9
Oct 2017,468.6,11.5,480.1
Nov 2017,470.0,11.2,481.2
Dic 2017,469.0,11.8,480.8
Ene 2018,471.6,11.2,482.8
Feb 2018,470.1,11.3,481.4
Mar 2018,493.4,11.0,504.4
Abr 2018,501.2,11.3,512.4
May 2018,506.9,16.0,522.9
Jun 2018,505.0,15.8,520.8
Jul 2018,501.2,14.9,516.2
Ago 2018,501.7,15.3,517.1
Sep 2018,512.1,15.0,527.1
Oct 2018,512.7,16.3,528.9
Nov 2018,513.8,16.3,530.0
Dic 2018,519.7,15.7,535.4
Ene 2019,521.4,15.2,536.7
Feb 2019,522.8,15.4,538.2
Mar 2019,528.0,16.4,544.4
Abr 2019,529.9,16.1,546.0
May 2019,528.2,16.6,544.8
Jun 2019,542.0,16.2,558.2
Jul 2019,531.3,16.0,547.4
Ago 2019,531.2,17.0,548.1
Sep 2019,540.7,0.9,541.6
Oct 2019,535.4,0.9,536.3
Nov 2019,546.7,0.9,547.6
Dic 2019,545.6,0.8,546.5
Ene 2020,542.8,0.9,543.6
Feb 2020,546.3,0.9,547.2
Mar 2020,549.7,1.1,550.8
